Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
XMORC,XMORC,MOR CORPORATION AUSTRALIA,A
XMORI,XMORI,MOON RICE CORPORATION,I
XMORU,XMORU,MOTHER LAND RUBBER INDUSTRIES,I
XMOSA,XMOSA,MOOSA JUMA SANKOOR,I
XMOSH,XMOSH,MOHIB SHOES PVT LTD,I
XMOSK,XMOSK,"MITSUI OSK LINES INDONESIA, PT",A
XMOSL,XMOSL,MOSS LANKA,I
XMOSP,XMOSP,MONTANE SHIPPING PRIVATE LIMITED,I
XMOSS,XMOSS,MOTHERSON SUMI SYSTEMS LIMITED.,I
XMOST,XMOST,"MOON STONE CO.,LTD",I
XMOSU,XMOSU,MOHAMMED SULTAN FOR TRADING,I
XMOSY,XMOSY,MONITOR SYSTEMS,I
XMOTA,XMOTA,"MOMENTA, INC.",I
XMOTE,XMOTE,MORTON'S THE STEAKHOUSE - MACAU,I
XMOTI,XMOTI,MOHAMMAD ANWAR TEXTILE INDUSTRIES,I
XMOTO,XMOTO,MOTOCICLO,A
XMOTOS,XMOTOS,"JIANGXI JIANGLING MOTORS IMP&EXP CO.,LTD",I
XMOTS,XMOTS,MOTOSPORT S.A.,A
XCYGR,XMOUSM,MOUNTAINSMITH LLC,I
XMOVE,XMOVE,MOTOS Y VEHICULOS S. A.,A
XMOWA,XMOWA,MODERN WASEET LOGISTICS CO.,A
XMOWO,XMOWO,MODERN WORLD OVERSEAS LTD,I
XMPCS,XMPCS,MINIATURE POWER CELLS SDN. BHD.,A
XMPEP,XMPEP,MACTAN PARTS ENTERPRISES,A
XMPFI,XMPFI,M-POWER FOOD INDUSTRIES PTE LTD,A
XMPHI,XMPHI,MAYNE PHARMA INTERNATIONAL PTY LTD,I
XMPIN,XMPIN,M. P. INTERNATIONAL LTD,A
XMPIS,XMPIS,MEMPA PAZARLAMA INSAAT SAN. VE TIC. A.S,A
XMPLI,XMPLI,MUDDY PUDDLES LIMITED,A
XMPPC,XMPPC,MAJAN PRINTING&PACKAGING COMPANY LLC,I
XMPPP,XMPPP,MICRO PRECISION PRODUCTS PVT. LTD.,I
XMPRT,XMPRT,M/S. PROUD TEXTILE,I
XMPSB,XMPSB,MODE POINT SDN BHD,I
XMPSL,XMPSL,MASH PRO SHIPPING & LOGISTICS PVT. LTD.,A
XMPSO,XMPSO,MIS PARMINDER SHARDA ORGANIC,I
XMQIL,XMQIL,MIRAMA QUARTZ INDUSTRIES (PVT) LTD,I
XMRAA,XMRAA,MR. ABDULLA AHMED ALZAYANI,A
XMRAM,XMRAM,M/S RAMESH KUMAR & CO,I
XMRBP,XMRBP,MOSER BAER PHOTOVOLTAIC LTD,I
XMRCA,XMRCA,MRC ASSOCIATES GARMENTS (PTE) LTD,I
XMRCL,XMRCL,MARINA CONTAINER LINES (HK) LTD,I
XMRDD,XMRDD,MR.D.M.C.DISSANAYAKA,I
XMREI,XMREI,REI AGRO LIMITED,I
XMRFOR,XMRFOR,M+R FORWARDING LTD (CHINA),I
XMRGP,XMRGP,M. R. GROUP,I
XMRHD,XMRHD,MERXX HANDELS GMBH,I
XMRIG,XMRIG,MEGA RESOURCES INTERNATIONAL GENERAL TRADING LLC,A
XMRJF,XMRJF,MR. JAFFAR FARHAN C/O EXTROVERT MASSAGE SALOON,I
XMRJW,XMRJW,MR J WANG,I
XMRME,XMRME,MAGNESITA REFRACTORIES MIDDLE EAST FZE,A
XMROL,XMROL,MAHARASHTRA OIL EXTRACTIONS PVT. LTD,I
XMROP,XMROP,MAXIMA RACING OILS  PROFILTER,I
XMRPR,XMRPR,MARTAS PRECISION SLIDE CO. LTD.,I
XMRSA,XMRSA,MOVEIS RUDNICK S/A.,A
XMRSP,XMRSP,MR.S.P.SUGGINE SILVA,I
XMRTD,XMRTD,MATRIK TRADINGS,I
XMRVL,XMRVL,MARVELL FURNITURE- INDIA,I
XMRYZ,XMRYZ,MR YEHIA ZAKARIA ABD ELKADER IBRAHIM,I
XMSAC,XMSAC,M/S. ATLAS FISH COMPANY WLL,I
XMSAD,XMSAD,M/S ASHRAFI FOOD INDUSTRIES,I
XMSAF,XMSAF,M/S. AHMED FOODS (PVT) LTD,I
XMSAI,XMSAI,M/S ANGELIQUE INTERNATIONAL LIMITED,I
XMSAL,XMSAL,M/S AKSAI LABORATORIES,I
XMSAM,XMSAM,M/S.AGRICULTURAL MARKETING  CO LTD,I
XMSAP,XMSAP,ALUTOP,A
XMSAS,XMSAS,MSA SHIPPING PVT LTD,I
XMSAT,XMSAT,M/S. ALPINTER S.A,I
XMSBE,XMSBE,MITSUBISHI ELEVATOR ASIA CO.LTD,A
XMSBG,XMSBG,MISAMI-BITOPI GROUP,A
XMSBV,XMSBV,M/S.BHAJI VELJI (KARACHI) CO.,I
XMSCH,XMSCH,M/S CHOTTANI INDUSTRIES,A
XMSCI,XMSCI,M/S SOAP & CHEMICALS INDUSTRIAL & TRADING CO. LTD.,A
XMSCO,XMSCO,M/S CORE,I
XMSCP,XMSCP,MAKES STORES COSMETICOS E PRESENTES,A
XMSCS,XMSCS,MAC SUPPLY CHAIN SOLUTIONS(PVT)LTD,I
XMSCT,XMSCT,M/S CONTRADICTIONS,I
XMSDD,XMSDD,MILITARY SURFACE DEPLOYMENT & DISTRIBUTION COMMAND,I
XMSEC,XMSEC,M/S.ECLATS CHEMICALS,I
XMSEI,XMSEI,"M/S , ELAGRA INFOCOM PVT. LTD",A
XMSEL,XMSEL,M/S SHRIRAM EPC LIMITED,I
XMSEP,XMSEP,M/S.ESIKA (PVT) LTD,I
XMSFP,XMSFP,DO NOT USE,I
XMSFT,XMSFT,XIAMEN SEZ FOREIGN TRADE (GROUP) CORP.,I
XMSGA,XMSGA,MARIA SUYAPA GARCIA ARGETA,I
XMSGJ,XMSGJ,M/S GAM JETT FZC,I
XMSHD,XMSHD,MAS HOLDINGS LIMITED,A
XMSHE,XMSHE,M/S HASAN ENTERPRISE,I
XMSHG,XMSHG,M/S. HARLEQUIN GRANIT (100% EOU),I
XMSHKU,XMSHKU,M/S.SHAKTHI KUMAR CHEMICALS EXPORTS PVT LTD.,I
XMSIE,XMSIE,M/S INLUK EXPORTS,I
XMSIM,XMSIM,M/S SUN IMPEX,I
XMSIS,XMSIS,M/S. SHADEED IRON & STEEL LLC,A
XMSIT,XMSIT,M.S. INTERNATIONAL,I
XWBAT,XMSIV,"MIDDLE SOUTH INVESTMENT CO., LTD.",I
XMSJE,XMSJE,M/S JEHAN CORPORATION,I
XMSJS,XMSJS,M/S JAWANDSONS,I
XMSKAS,XMSKAS,M/S. KASS ENTERPRISES,I
XMSKR,XMSKR,M/S K.R. TRADING COMPANY,I
XMSKT,XMSKT,M/S KING TRADE INTERNATIONAL LTD.,I
XMSKU,XMSKU,M/S KULODAY TECHNOPACK PVT LTD,I
XMSLD,XMSLD,MONGA STRAYFIELD  PVT LTD,I
XMSLI,XMSLI,MAHDEEN SWEATERS LIMITED,I
XMSLP,XMSLP,MABLE SUPPLIES LIMITED PARTNERSHIP,I
XMSLT,XMSLT,MASTER SYNTHETICS (PVT) LTD,A
XMSLU,XMSLU,"MINHOU STELLARLUX LUMINAIRE CO., LTD.",A
XMSMA,XMSMA,M/S. MUHAMMAD ALI YAQOOB,I
XMSMAZ,XMSMAZ,M/S. AL MUSTAQBAL AL ZAHIR TRD AND EST,I
XMSMC,XMSMC,M/S MAPLE LEAF CEMENT FACTORY LTD.,I
XMSME,XMSME,M/S. MAG EXCEL EXPORTS PVT LTD,I
XMSMEE,XMSMEE,MAQUINA SOLO MAQUINAS E EQUIPAMENTOS LTDA,A
XMSMI,XMSMI,M/S. MMK INTERNATIONAL,I
XMSMO,XMSMO,M/S. MOTWANI INTERNATIONAL,I
XMSMZ,XMSMZ,M/S. MINTAZ ASSOCIATES,I
XMSNH,XMSNH, M/S. NASHRAH SHIPPING & LOGISTICS (PVT) LTD,I
XMSNK,XMSNK,M/S NICE KNITS (PVT)LTD,I
XMSNT,XMSNT,"M/S , NH TRADERS",I
XMSOD,XMSOD,MASOOD TEXTILE MILLS LTD,A
XMSOR,XMSOR,M/S. ORIENTAL RUBBER INDUSTRIES LTD,I
XMSPA,XMSPA,M/S.PRAN AGRO LTD,I
XMSPL,XMSPL,MESO PRIVATE LIMITED,I
XMSPP,XMSPP,M/S. PRODUCE IMPORT & EXPORT,I
XMSPR,XMSPR,M/S PRIME RICE MILLS(PVT)LTD,I
XMSPT,XMSPT,M/S.PAUL TEXTILES & TOWEL INDUSTRIES,I
XMSRA,XMSRA,M/S RUKN AL AAJ TRADING EST.,I
XMSRR,XMSRR,RISHABH RESINS & CHEMICALS,I
XMSSA,XMSSA,MELLAFE Y  SALAS S.A.,A
XMSSAM,XMSSAM,MS/. SAMRAT CHEMICALS,I
XMSSC,XMSSC,M/S SAJWARE CORPRATION (PVT) LTD,I
XMSSE,XMSSE,M/S. SHEETAL EXPO,I
XMSSF,XMSSF,MSA SEA FOODS,I
XMSSG,XMSSG,M/S. SIKA GULF B.S.C.,A
XMSSI,XMSSI,"M/S SHAOXING SHERRY IMPORT AND EXPORT CO.,LTD",I
XMSSL,XMSSL,MOTHERSON AUTOMOTIVE TECHNOLOGIES AND ENGINEERING(A DIVISION OF*,I
XMSSN,XMSSN,M.SHERIF & SONS PVT. LTD,I
XMSSO,XMSSO,MSOURCE SOLUTIONS,A
XMSSZ,XMSSZ,MS SHAZ EXPORT,I
XMSTA,XMSTA,M/S TRADING AFFAIRE,I
XMSTC,XMSTC,M/S.TRANS CORP,I
XMSTD,XMSTD,M/S. TRADERS,I
XMSTG,XMSTG,MALAYSIAN SHEET GLASS SDN BHD,A
EMERSN,XMSTH,EMERSON (THAILAND) LTD.,A
XMSTI,XMSTI,M/S. MASTEX INC LTD,I
XMSTR,XMSTR,MODERN STANDARD TRUST,A
XMSTS,XMSTS,MST SHOE TRADE & SERVICE GMBH,A
XMSU,XMSU,MICHAEL'S SCHOOL UNIFORMS,I
XMSUG,XMSUG,M/S UMAR GARMENTS,A
XMSUI,XMSUI,M/S UNITED IMPEX,I
XMSVE,XMSVE,M/S. VIJEY EXPORTERS,I
XMSVI,XMSVI,M/S VEENUS IMPEX,I
XMSWS,XMSWS,MAIN STORE WHYALLA STEELWORK,I
XMSZZ,XMSZZ,M/S SALZ IMEX,I
XMTAP,XMTAP,MOTOR APPLIANCE CORP,I
XMSWL,XMSWL,MASIHATA SWEATERS LTD.,A
XMTAS,XMTAS,MING TAI (ASIA) COMPANY,A
XMTAT,XMTAT,MONTCO ADVERTISING SPECIALTIES INC.,I
XMTBD,XMTBD,"MATTEL BRANDS, A DIVISION OF MATTEL ASIA PACIFIC SOURCING LIMITED",A
XMTBK,XMTBK,MASTERBAKER MARKETING FZCO,A
XMTCE,XMTCE,MT CARGO EXPRESS NICARAGUA S.A.,I
XMTCO,XMTCO,M/S MADNI TRADING CO.,I
XMTDS,XMTDS,MINDEF THRU DEFENCE SCIENCE AND TECHNOLOGY AGENCY,I
XMTEC,XMTEC,MOTOSAN ENGINEERING CORPORATION,I
XMTEE,XMTEE,M/S. THE EGYPTITAN FARMERS CO,I
XMTFD,XMTFD,MOULTRIE FEEDERS,I
XMTFE,XMTFE,M/S TRADE FORTUNE ENTERPRISES,I
XMTFH,XMTFH,MASTER FREIGHT SERVICES (PVT) LTD.,I
XMTFS,XMTFS,MATTHEWS FOUR SEASONS,I
XMTFT,XMTFT,MERIT FREIGHT SYSTEMS CO. LLC,I
XMTGT,XMTGT,MULTI GLOBAL TRADING,I
XMTGV,XMTGV,MAJESTIC GLOVE,I
XMTHP,XMTHP,MAN TUNG HANDBAG PRODUCTS FTY LTD.,I
XMTIC,XMTIC,"MONTANA (TAIWAN) INTL CO., LTD",A
XMTIG,XMTIG,MAS TRADE INTERNATIONAL GARMENTS LTD,I
XMTIN,XMTIN,M/S. TYPICAL INTERNATIONAL CORPORATION,I
XMTIT,XMTIT,MITSA INTERNATIONAL,I
XMTKM,XMTKM,MTKM INC,I
XMTML,XMTML,MASTER TEXTILE MILLS LTD,A
XMTOI,XMTOI,"MACH TOOLS, INC.",A
XMTOO,XMTOO,MATTOO SONS,I
XMTOR,XMTOR,MITPRASEATPORN LTD. PART,I
XMTOY,XMTOY,MANGLIK TOYS IMPEX,I
XMTPL,XMTPL,"METECNO PANNELLI (THAILAND) CO., LTD.",I
XMTPP,XMTPP,MIDWEST PRECISION PRODUCTS,I
XMTPT,XMTPT,"MITSIAM PLASTICS CO.LTD. THAILAND ON BEHALF OF NIPPON TRADING CO.,LTD.",I
XMTRA,XMTRA,MARKEN TRADING,I
XMTRC,XMTRC,MENASIA TRADING CO.,I
XMTRP,XMTRP,MARUTI TECHNO RUBBER PVT LTD,I
XMTSC,XMTSC,MITSUI & CO. (HK) LTD.,A
XMTSL,XMTSL,"MILLENNIUM TEXTILES (SOUTHERN) LTD,",I
XMTSP,XMTSP,"MITRA SARANA PURNAMA,PT",I
XMTSU,XMTSU,MATIARI SUGAR MILLS LIMITED,I
XMTTC,XMTTC,"MUHAMMADI TYRE TRADING CO,LTD",A
XMTTD,XMTTD,"MYSTYLE INTERTRADE CO.,LTD.",I
XMTTE,XMTTE,"MILLER TAXTILE (QINGDAO) CO.,LTD",I
XMTUK,XMTUK,MOBIKE TECHNOLOGY UK LIMITED,A
XMTUL,XMTUL,M/S  MOMENTUM LOGISTICS LLC,I
XMTYR,XMTYR,MOTOTREND TYRES LTD,A
XMUAH,XMUAH,MUNIR AHMED MOHAMMED SHIPPING CO. LTD.,I
XMUCA,XMUCA,MUNAWLA CARGO SERVICES COMPANY LTD,I
XMUCL,XMUCL,"MECCANOTECNICA UMBRA(QINGDAO) CO.,LTD.",A
XMUCO,XMUCO,MUNGYO CORPORATION,I
XMUCP,XMUCP,MUZAMIL CORPORATION,I
XMUCY,XMUCY,M & U CYCLES LIMITED,I
XMUDU,XMUDU,MULTINDUSTRIAS,A
XMUEN,XMUEN,MUZZAMIL ENTERPRISES,I
XMUEX,XMUEX,MUNDIA EXPORT,A
XMUFF,XMUFF,MULTIMODAL FREIGHT FORWARDERS,I
XMUFO,XMUFO,MUTUAL FOOTWEAR INC,I
XMUFU,XMUFU,MOUNTAIN FRUITS PVT LTD,I
XMUGL,XMUGL,MULTIVISTA GLOBAL LIMITED,I
XMUHO,XMUHO,MUEBLISSIMA DE HONDURAS S. DE R. L.,A
XMUHP,XMUHP,MUDANJIANG HENGFENG PAPER CO. LTD.,A
XMUIE,XMUIE,"XIAMEN UNIBEST IMPORT AND EXPORT CO.,LTD",A
XMUIT,XMUIT,"MARUBENI-ITOCHU STEEL PTE LTD, SEOUL BRANCH",I
XMUKA,XMUKA,MUSKAN CONTAINER LINES PVT LTD,I
XMUKC,XMUKC,MURATEC-KDS CORP,I
XMUKIT,XMUKIT,MUKITCHEN,I
XMUKT,XMUKT,MUN KHONG TAN COMPANY LIMITED,I
XMULI,XMULI,MULITEX LIMITED,I
XMULIA,XMULIA,MULIA MURNI SDN BHD,I
XMULTI,XMULTI,MULTI TRADE LTD FZC,I
XMUPA,XMUPA,MARUBENI PLAX CORPORATION,I
XMUPI,XMUPI,MUSON PROJECT INC,I
XMUSA,XMUSA,MUSALLAM TRADING,I
XMUSE,XMUSE,MUSANI ENTERPRISES,A
XMUSK,XMUSK,MITSUI O.S.K LINES LANKA (PVT) LTD.LOGISTICS DIVISION,I
XMUSM,XMUSM,MUSTAFA & MUJTABA TEXTILE,I
XMUSO,XMUSO,MUSKAN OVERSEAS PVT. LTD,I
XMUST,XMUST,MUHAMMADI STEEL,I
XMUTA,XMUTA,MUBARAK TRADING COMPANY,I
XMUTC,XMUTC,MUTA CORPORATION,I
XMUTD,XMUTD,MUSTAFA TRADING EST,I
XMUTE,XMUTE,MULTECH INC,I
XMUTI,XMUTI,MULTI TRADE COMPANY IMPORTACAO E EXPORTACAO LTDA,I
XMUTO,XMUTO,MULTI FREEZ COMPANY,I
XMUTOC,XMUTOC,MUTTON HOLLOW CHEVYS,I
XMUTRA,XMUTRA,MUTRAH SHIPPING,I
XMUUD,XMUUD,MADHUSUDAN AUTO LTD,I
XMVAN,XMVAN,MERCANTIL VALE DO ARINOS LIMITADA,A
XMVFT,XMVFT,MARVELL FURNITURE,I
XMVSA,XMVSA,"MOLINO VENECIA SOCIEDAD ANONIMA, S.A.",A
XMWEL,XMWEL,M/S. WELD ALLOY PRODUCTS LTD.,I
XMWFR,XMWFR,M & W FASTENER CO. LTD.,I
XMWFT,XMWFT,MW FLORESTAL,I
XMWGP,XMWGP,MULTI WEAR GARMENTS PVT LTD,I
XMWHA,XMWHA,MW HANDELSGESELLSCHAFT MBH,I
XMWPF,XMWPF,MIDWESTERN PET FOODS,I
XMWTL,XMWTL,"XIAMEN WANTONG LOGISTICS CO., LTD.",A
XMWTT,XMWTT,"MASTER-WAY INTERNATIONAL TRANSTORTATION CO.,LTD",I
XMWVC,XMWVC,"SILGAN DISPENSING SYSTEMS, INC",A
XMXBD,XMXBD,"MAXXI BUILDING PRODUCTS CO., LTD.",A
XMXFC,XMXFC,"MAXXI FACTORY CO., LTD.",A
XMXLD,XMXLD,MIX LTD,A
XMXTR,XMXTR,MAXTAR INDUSTRIES,I
XMYCO,XMYCO,MIYAKAWA CORPORATION,I
XMYD,XMYD,MODAS Y DEPORTES ZONA LIBRE S.A.,A
XMYHK,XMYHK,MAYAR (H.K.) LTD.,I
XMYIT,XMYIT,"MY INTERNATIONAL CO.,LTD",I
XMYKB,XMYKB,MAYEKAWA DO BRASIL LTDA,I
XMYKM,XMYKM,MORTY THE KNIFE MAN,I
XMYSA,XMYSA,MAYTAG SALES INC,I
XMYSU,XMYSU,MYUNG SUNG AUTO PARTS,I
XMYTH,XMYTH,MYTH LTD.,I
XMYTI,XMYTI,MYSTIC INC,A
XMZCI,XMZCI,MING-ZU CHEMICAL INDUSTRY LTD.,I
XMZET,XMZET,M Z ENTERPRISES,I
XMZFU,XMZFU,"MENZU FACTORY UNOKI CO.,LTD.",I
XMZHO,XMZHO,M.Z. HOLDINGS (PVT) LTD,I
XMZIN,XMZIN,M & Z INTERNATIONAL INDUSTRIAL LIMITED,I
XMZTM,XMZTM,MOIZ TEXTILE MILLS LIMITED,I
XMZTP,XMZTP,M.Z. TRADING PANAMA CO.,A
XMZVZ,XMZVZ,MECANIZACIONES VELASQUEZ,I
XMZYS,XMZYS,MAZAYAH SHIPPING CO. L.L.C.,I
XM3EL,XM3EL,M3 ELECTRONIC GMBH,I
XM5IC,XM5IC,M5 INDUSTRIA E COMERCIO S/A,A
XNAAA,XNAAA,NEW AMP AND OHM APPLICATIONS. PVT. LTD,I
XNAAE,XNAAE,NAPINO AUTO AND ELCTRONICS LTD,A
XNAAL,XNAAL,"NASSA APPARELS LIMITED,UNIT-2",I
XNAAP,XNAAP,NASSA APPARELS LIMITED,I
XNAAU,XNAAU,NASEEM AUTOS,I
XNABC,XNABC,NISSIN ABC LOGISTICS PVT LTD,I
XNACA,XNACA,NANJING CAIFENG TRADING CO. LTD.,I
XNACE,XNACE,NATURE CEYLON TRADING PVT LTD,I
XNACG,XNACG,NARENDRA COTTON GINNING AND PRESSING CO. PVT. LTD.,I
XNACO,XNACO,"NANJING CODEAL CORP.,LTD",A
XNACP,XNACP,NAKAGAWA CORPORATION,I
XNACT,XNACT,NORTH AFRICA COMPANY FOR TECHNOLOGY,I
XNADE,XNADE,NAZEER DYEING & BLEACHING,I
XNADI,XNADI,NARMADA IMPEX,I
XNADJ,XNADJ,"NANGOKU AGRICULTURE DEVELOPMENT(JAPAN-CAMBODIA) JOINT VENTURE CO.,LTD",A
XNADL,XNADL,NATURAL DENIMS LTD.,I
XNADO,XNADO,"NANTONG DONGCHANG CHEMICAL INDUSTRIAL CO.,LTD",I
XNAEN,XNAEN,NAUSHAD ENTERPRISES,I
XNAEP,XNAEP,NAGREEKA EXPORTS,I
XNAET,XNAET,NAPINO AUTO & ELECTRONICS LTD,I
XNAFA,XNAFA,NAFA APPARELS LTD.,I
XNAFO,XNAFO,NATIONAL FOOD COMPANY- AMERICANA MEAT,I
XNAFRA,XNAFRA,NATURAL FRAGANCES,I
XNAFT,XNAFT,NATIONAL FREIGHT FOR TRADING AND LOGISTICS,I
XNAGA,XNAGA,NEW ARCHID GARMENT FACTORY LIMITED,I
XNAGO,XNAGO,NATALIE GROUP,I
XNAHD,XNAHD,NAYEF HAMAD DEKHAYEL TRADING (NAYEFTOYS ),A
XNAHM,XNAHM,"NANJING HUIXING METAL PRODUCTS CO., LTD",I
XNAHO,XNAHO,NAYASA HOMEWARE,I
XNAI,XNAI,NUEVOS ALMACENES INTERNACIONALES S.A,A
XNAIL,XNAIL,NMK AGRO INDUSTRIES LANKA (PVT) LTD,I
XNAIM,XNAIM,NAVAM IMPEX L.L.C,A
XNAIN,XNAIN,M/S NAZIR INDUSTRIES,I
XNAKG,XNAKG,NAKSHBAND GARMENTS,I
XNAKI,XNAKI,NAKODAPLAST INDUSTRIES,I
XNALB,XNALB,NASEEM AL BARARI GENERAL TRADING CO.LLC,I
XNALC,XNALC,N & A LOGISTICS COMPANY LIMITED.,I
XNALI,XNALI,NANJING LIUHE GAOSHENG RIVER STONE FACTORY,I
XNAMA,XNAMA,NATIONAL MANAGMENT LOGISTICS INC,I
XNAMC,XNAMC,"NAMYOUNG CO.,LTD",I
XNAME,XNAME,NAEEM ENTERPRISES,I
XNAMK,XNAMK,NATUREFARM MARKETING PTE LTD,I
XNAMO,XNAMO,NABIL M. MORSI,I
XNANA,XNANA,M/S NANAK ENTERPRISES,I
XNANI,XNANI,NOVUS ANIMAL NUTRITION INDIA PVT LTD,I
XNAOIL,XNAOIL,NATIONAL OILWELL VARCO,I
XNAPA,XNAPA,PT.NAGASAKTI PARAMASHOES INDUSTRY,I
XNAPE,XNAPE,NAPOLEON PERDIS,A
XNAPS,XNAPS,NORTH AMERICAN PIPE & STEEL,I
XNARA,XNARA,NARA CORPORATION,I
XNARI,XNARI,NARI GROUP CORPORATION,I
XNASC,XNASC,"NANJING SUNSHINE CHEMICAL CO.,LTD",I
XNASE,XNASE,NANJING SECOND IMP&EXP CO.LTD,A
XNASH,XNASH,NAVAL SHOP DO BRASIL LTDA - ME,A
XNASL,XNASL,NASHRAH SHIPPING & LOGISTICS (PVT) LTD,I
XNASP,XNASP,NAHAR SPINNING MILLS LTD,I
XNATC,XNATC,NATIONAL TEXTILES CORPORATION LTD.,I
XNATE,XNATE,NAYA-TECH & SERVICE INC.,I
XNATH,XNATH,NATIONAL TENT HOUSE,I
XNATI,XNATI,"NINGBO ATLAS IMP.&EXP.CO.,LTD",I
XNATT,XNATT,NATURALLY AUSTRALIAN TEA TREE OIL PTY LTD,A
XNAUP,XNAUP,NEWSWAN AUTOCOMP PVT LTD,I
XNAUTI,XNAUTI,NAUTILUS INC.,I
XNAZB,XNAZB,NAZ BANGLADESH LTD,I
XNAZE,XNAZE,NAZEL S.A,I
XNAZI,XNAZI,NAZIR INDUSTRIES,I
XNBAE,XNBAE,NEW BALANCE ARTIGOS ESPORTIVOS LTDA,I
XNBAS,XNBAS,"NINGBO BAOXIN STAINLESS STEEL CO.,LTD",I
XNBAT,XNBAT,NEW BALANCE ATHLEITC SHOES(HONG KONG) LTD,I
XNBBE,XNBBE,NINGBO BANMEN ELECTRIC CO. LTD.,A
XNBBL,XNBBL,"NINGBO BEILUN FUTURE IMPORT AND EXPORT CO., LTD.",A
XNBEA,XNBEA,"NINGBO EXCEL AUTO PARTS CO, LTD.",I
XNBFD,XNBFD,"NABISCO FOODS, PT",I
XNBHT,XNBHT,"NINGBO HIDROTEK CO., LTD",I
XNBKM,XNBKM,"NINGBO KING MOUNT CO., LTD.",A
XNBLD,XNBLD,"NOBLAND VIETNAM CO., LTD.",A
XNBMD,XNBMD,NOBLE MOULDS PVT. LIMITED,I
XNBME,XNBME,"NINGBO BOSS MACHINERY ELECTRICAL AND TECHNOLOGY CO.,LTD",I
XNBNS,XNBNS,"NINGBO NING SHING INDUSTRIAL CO.,LTD",A
XNBOI,XNBOI,NINGBO BOHANG INTERNATIONAL CO.LTD,I
XNBPI,XNBPI,"NINGBO BRIDGE POWER IMP.&EXP. CO.,LTD",A
XNBPL,XNBPL,NEUE BLVD PTY LTD,A
XNBRS,XNBRS,NOBLE RESOURCES PTE LTD,I
XNBSI,XNBSI,"NINGBO FREE TRADE ZONE SIREPE IMPORT & EXPORT CO., LTD.",A
XNBTG,XNBTG,"NICHE BASE TECHNOLOGY GROUP CO., LTD.",A
XNBUT,XNBUT,"NINGBO UNIVERSAL TOOLS CO.,LTD.",A
XNBXS,XNBXS,"ZHEJIANG XIASHA PRECISION MANUFACTURING CO.,LTD.",A
XNBYI,XNBYI,"NINGBO YILI IMPORT & EXPORT CO., LTD.",A
XNBZS,XNBZS,NINGBO ZHONGSHENG I/E CO. LTD.,I
XNCAP,XNCAP,"NINGDE CHUANHUI AQUATIC PRODUCT CO., LTD FUJIAN",A
XNCDM,XNCDM,"NOVELTY CORP. DE MEXICO, S.A. DE C.V.",A
XNCFA,XNCFA,NC FASHIONS  (PVT) LTD,A
XNCFP,XNCFP,"NINGBO CHANGQI FLUORINE PLASTIC PRODUCTS CO.,LTD",I
XNCFT,XNCFT,NAPCO COMPOSITE FILM PACKAGING TECHNOLOGY(NAPCO COMPACT),I
XNCH,XNCH,NCH CORPORATION,A
XNCCP,XNCCP,NETWORK CLOTHING COMPANY PVT. LTD,A
XNCIE,XNCIE,NORTHEAST CHINA INTERNATIONAL ELECTRIC POWER CORP.,I
XNCJO,XNCJO,N C JOHN & SONS PVT. LTD,I
XNCL,XNCL,NISSAN CHILE SPA,A
XNCLS,XNCLS,NICHOLAS THE LABEL,A
XNCMG,XNCMG,NINGBO CARSTECH MANUFACTORING GROUP,I
XNCNL,XNCNL,NISHAT CHUNIAN LTD,A
XNCRT,XNCRT,NEW CLASSIC RICE TRADERS,I
XNCSC,XNCSC,"NOKIAN CAPACITORS (SHANGHAI) CO., LTD",A
XNCSL,XNCSL,"NAVEGATE CHINA (SHANGHAI) LOGISTICS CO.,  LTD.",A
XNCTH,XNCTH,"NEW CENTURY HOLDING GROUP CO.,LTD",I
XNDBN,XNDBN,NUDE BY NATURE,A
XNDCE,XNDCE,NDC EXPORTS,I
XNDCIE,XNDCIE,NOIIZ DECOR COMERCIO IMPORTACAO EXPORTACAO LTDA,A
XNDEH,XNDEH,NANJING DEVELOP HEAVY FORGING CO.LTD,I
XNDEI,XNDEI,NINGBO DELTA INT'L LOGISTICS CO.LTD.,I
XNDFL,XNDFL,"NINGBO DONGFANG LINGYUN VEHICLE MADE CO.,LTD",I
XNDHT,XNDHT,"JIANGSU OVERSEA TRADING CO, LTD",I
XNDIC,XNDIC,NIDEC MOTOR(QINGDAO)CORPORATION,A
XNDIT,XNDIT,"NDI TIRE (QINGDAO) CO., LTD.",A
XNDOL,XNDOL,NDO LANKA (PVT) LTD,I
XNDP,XNDP,NEUMATICOS DEL PARAGUAY SRL,A
XNDSI,XNDSI,"NDS, INC.",I
XNDSL,XNDSL,NANJING DECO STONE LIMITED,A
XNDSR,XNDSR,"NANJING DONGRUN SPECIAL RUBBER CO.,LTD",I
XNDTB,XNDTB,"NINGBO DATON BEARING CO.,LTD",I
XNDYI,XNDYI,NINGBO DEYUN INTERNATIONAL FREIGHT AGNECY CO.LTD.,I
XNEAC,XNEAC,NEAC INC,I
XNEAL,XNEAL,NINGBO ESQUEL APPAREL COMPANY LIMITED,A
XNEAP,XNEAP,NEONTIDE AUSTRALIA PTY LTD,A
XNEAPL,XNEAPL,NOL SINGAPORE AGENCY PTE LTD,I
XNEAT,XNEAT,NEAT TECHNOLOGY PTE LTD,I
XNEBA,XNEBA,NEW BALANCE,I
